"";"title";"Awards"
"1";"Parasite";"4"
"2";"Ford v Ferrari";"2"
"3";"Learning to Skateboard in a Warzone (If You're a Girl)";"1"
"4";"The Neighbors' Window";"1"
"5";"Little Women";"1"
"6";"Marriage Story";"1"
"7";"Jojo Rabbit";"1"
"8";"Toy Story 4";"1"
"9";"Joker";"2"
"10";"Once Upon a Time in Hollywood";"2"
"11";"1917";"3"
"12";"Judy";"1"
"13";"Bombshell";"1"
"14";"Rocketman";"1"
"15";"American Factory";"1"
"16";"Hair Love";"1"
"17";"Green Book";"3"
"18";"Bohemian Rhapsody";"4"
"19";"Roma";"3"
"20";"Black Panther";"3"
"21";"The Favourite";"1"
"22";"A Star Is Born";"1"
"23";"Vice";"1"
"24";"BlacKkKlansman";"1"
"25";"First Man";"1"
"26";"If Beale Street Could Talk";"1"
"27";"Bao";"1"
"28";"Free Solo";"1"
"29";"Period. End of Sentence.";"1"
"30";"Skin";"1"
"31";"Spider-Man: Into the Spider-Verse";"1"
"32";"The Shape of Water";"4"
"33";"Dunkirk";"3"
"34";"Three Billboards Outside Ebbing, Missouri";"2"
"35";"Darkest Hour";"2"
"36";"Blade Runner 2049";"2"
"37";"Coco";"2"
"38";"Phantom Thread";"1"
"39";"Call Me by Your Name";"1"
"40";"Get Out";"1"
"41";"I, Tonya";"1"
"42";"Dear Basketball";"1"
"43";"A Fantastic Woman";"1"
"44";"Heaven Is a Traffic Jam on the 405";"1"
"45";"Icarus";"1"
"46";"The Silent Child";"1"
"47";"Flesh and Sand (Carne y arena)";"0 (1)[1]"
"48";"Moonlight";"3"
"49";"La La Land";"6"
"50";"Hacksaw Ridge";"2"
"51";"Manchester by the Sea";"2"
"52";"Arrival";"1"
"53";"Fences";"1"
"54";"Fantastic Beasts and Where to Find Them";"1"
"55";"The Jungle Book";"1"
"56";"O.J.: Made in America";"1"
"57";"Piper";"1"
"58";"The Salesman";"1"
"59";"Sing";"1"
"60";"Suicide Squad";"1"
"61";"The White Helmets";"1"
"62";"Zootopia";"1"
"63";"Spotlight";"2"
"64";"Mad Max: Fury Road";"6"
"65";"The Revenant";"3"
"66";"Bridge of Spies";"1"
"67";"The Big Short";"1"
"68";"The Danish Girl";"1"
"69";"Room";"1"
"70";"The Hateful Eight";"1"
"71";"Ex Machina";"1"
"72";"Inside Out";"1"
"73";"Amy";"1"
"74";"Bear Story";"1"
"75";"A Girl in the River: The Price of Forgiveness";"1"
