"date";"stockPrice";"stockVolume"
"2007-01-03";3,801429;16440900
"2007-01-04";3,621429;15959300
"2007-01-05";3,544286;15190700
"2007-01-08";3,404286;18344900
"2007-01-09";3,427143;10611300
"2007-01-10";3,438571;11448500
"2007-01-11";3,462857;9130100
"2007-01-12";3,244286;22171100
"2007-01-16";3,248571;30134300
"2007-01-17";3,261429;15204000
"2007-01-18";3,178571;11298700
"2007-01-19";3,222857;12152000
"2007-01-22";3,128571;18595500
"2007-01-23";3,108571;20239100
"2007-01-24";3,25;44220400
"2007-01-25";3,321429;64389500
"2007-01-26";3,307143;13869800
"2007-01-29";3,221429;21761600
"2007-01-30";3,275714;8789200
"2007-01-31";3,258571;10256400
"2007-02-01";3,247143;7888300
"2007-02-02";3,262857;9864400
"2007-02-05";3,228571;5572700
"2007-02-06";3,188571;15805300
"2007-02-07";3,271429;11223800
"2007-02-08";3,392857;19541900
"2007-02-09";3,301429;7865200
"2007-02-12";3,304286;7119700
"2007-02-13";3,271429;4841900
"2007-02-14";3,228571;36174600
"2007-02-15";3,214286;8286600
"2007-02-16";3,267143;10532900
"2007-02-20";3,358571;12290600
"2007-02-21";3,341429;64801800
"2007-02-22";3,392857;8782900
"2007-02-23";3,361429;8375500
"2007-02-26";3,304286;6216700
"2007-02-27";3,157143;12520200
"2007-02-28";3,218571;8883000
"2007-03-01";3,261429;12429200
"2007-03-02";3,184286;8073100
"2007-03-05";3,008571;17101000
"2007-03-06";3,062857;14133000
"2007-03-07";3,025714;8599500
"2007-03-08";3,034286;6320300
"2007-03-09";3,008571;6686400
"2007-03-12";3,011429;6709500
"2007-03-13";2,935714;9384200
"2007-03-14";3,015714;8215900
"2007-03-15";3,022857;6435800
"2007-03-16";3,002857;6666100
"2007-03-19";3,051429;5712000
"2007-03-20";3,211429;15969100
"2007-03-21";3,292857;15977500
"2007-03-22";3,3;5699400
"2007-03-23";3,39;10215800
"2007-03-26";3,322857;7420700
"2007-03-27";3,368571;9218300
"2007-03-28";3,34;5481700
"2007-03-29";3,35;6681500
"2007-03-30";3,312857;5320700
"2007-04-02";3,354286;7243600
"2007-04-03";3,397143;8878100
"2007-04-04";3,504286;14124600
"2007-04-05";3,457143;5451600
"2007-04-09";3,477143;4174800
"2007-04-10";3,551429;8075200
"2007-04-11";3,514286;6979000
"2007-04-12";3,514286;5466300
"2007-04-13";3,514286;3591000
"2007-04-16";3,502857;4580100
"2007-04-17";3,422857;12124700
"2007-04-18";3,1;54943000
"2007-04-19";3,072857;28145600
